Spend,,,,,
Campaign,Media channel,2022,,,
AtHomeMedia,AtHometotal,142883,,,
Express,Display,65111,,,
Express,OOH,637622,,,
Express,Press,119344,,,
Express,RadioandAudio,44713,,,
Express,Social,107955,,,
FOOU,FOOUtotal,1072056,,,
Retail,Display,685424,,,
Retail,OOH,1998506,,,
Retail,Press,383715,,,
Retail,RadioandAudio,1542193,,,
Retail,Social,481157,,,
Retail,TVSponsorship,528109,,,
Retail,VOD,98322,,,
RTDMedia,OOH,329923,,,
,,,,,
All Revenue,,,,,
Campaign,Media channel,KPI group,Product,Sub product,2022
AtHomeMedia,AtHometotal,Longterm,ExpressSales,TotalExpresssubproduct,6226
AtHomeMedia,AtHometotal,Longterm,RetailSales,Drinks,4918
AtHomeMedia,AtHometotal,Longterm,RetailSales,Food,2854
AtHomeMedia,AtHometotal,Longterm,RetailSales,Other,772
AtHomeMedia,AtHometotal,Longterm,RTD,TotalRTDsubproduct,19
AtHomeMedia,AtHometotal,Shortterm,ExpressSales,TotalExpresssubproduct,0
AtHomeMedia,AtHometotal,Shortterm,RetailSales,Drinks,0
AtHomeMedia,AtHometotal,Shortterm,RetailSales,Food,0
AtHomeMedia,AtHometotal,Shortterm,RetailSales,Other,0
AtHomeMedia,AtHometotal,Shortterm,RTD,TotalRTDsubproduct,0
Express,Display,Longterm,ExpressSales,TotalExpresssubproduct,1046
Express,Display,Longterm,RetailSales,Drinks,754
Express,Display,Longterm,RetailSales,Food,448
Express,Display,Longterm,RetailSales,Other,117
Express,Display,Longterm,RTD,TotalRTDsubproduct,3
Express,Display,Shortterm,ExpressSales,TotalExpresssubproduct,150789
Express,Display,Shortterm,RetailSales,Drinks,0
Express,Display,Shortterm,RetailSales,Food,0
Express,Display,Shortterm,RetailSales,Other,0
Express,Display,Shortterm,RTD,TotalRTDsubproduct,179
Express,OOH,Longterm,ExpressSales,TotalExpresssubproduct,23407
Express,OOH,Longterm,RetailSales,Drinks,16739
Express,OOH,Longterm,RetailSales,Food,9918
Express,OOH,Longterm,RetailSales,Other,2629
Express,OOH,Longterm,RTD,TotalRTDsubproduct,72
Express,OOH,Shortterm,ExpressSales,TotalExpresssubproduct,1258606
Express,OOH,Shortterm,RetailSales,Drinks,0
Express,OOH,Shortterm,RetailSales,Food,0
Express,OOH,Shortterm,RetailSales,Other,0
Express,OOH,Shortterm,RTD,TotalRTDsubproduct,1951
Express,Press,Longterm,ExpressSales,TotalExpresssubproduct,2623
Express,Press,Longterm,RetailSales,Drinks,1885
Express,Press,Longterm,RetailSales,Food,1118
Express,Press,Longterm,RetailSales,Other,294
Express,Press,Longterm,RTD,TotalRTDsubproduct,8
Express,Press,Shortterm,ExpressSales,TotalExpresssubproduct,231223
Express,Press,Shortterm,RetailSales,Drinks,0
Express,Press,Shortterm,RetailSales,Food,0
Express,Press,Shortterm,RetailSales,Other,0
Express,Press,Shortterm,RTD,TotalRTDsubproduct,330
Express,RadioandAudio,Longterm,ExpressSales,TotalExpresssubproduct,2754
Express,RadioandAudio,Longterm,RetailSales,Drinks,2086
Express,RadioandAudio,Longterm,RetailSales,Food,1242
Express,RadioandAudio,Longterm,RetailSales,Other,322
Express,RadioandAudio,Longterm,RTD,TotalRTDsubproduct,8
Express,RadioandAudio,Shortterm,ExpressSales,TotalExpresssubproduct,150094
Express,RadioandAudio,Shortterm,RetailSales,Drinks,0
Express,RadioandAudio,Shortterm,RetailSales,Food,0
Express,RadioandAudio,Shortterm,RetailSales,Other,0
Express,RadioandAudio,Shortterm,RTD,TotalRTDsubproduct,120
Express,Social,Longterm,ExpressSales,TotalExpresssubproduct,5218
Express,Social,Longterm,RetailSales,Drinks,3749
Express,Social,Longterm,RetailSales,Food,2230
Express,Social,Longterm,RetailSales,Other,609
Express,Social,Longterm,RTD,TotalRTDsubproduct,16
Express,Social,Shortterm,ExpressSales,TotalExpresssubproduct,353333
Express,Social,Shortterm,RetailSales,Drinks,0
Express,Social,Shortterm,RetailSales,Food,0
Express,Social,Shortterm,RetailSales,Other,0
Express,Social,Shortterm,RTD,TotalRTDsubproduct,286
FOOU,FOOUtotal,Longterm,ExpressSales,TotalExpresssubproduct,31922
FOOU,FOOUtotal,Longterm,RetailSales,Drinks,24067
FOOU,FOOUtotal,Longterm,RetailSales,Food,13143
FOOU,FOOUtotal,Longterm,RetailSales,Other,2936
FOOU,FOOUtotal,Longterm,RTD,TotalRTDsubproduct,78
